time,m_target_x,m_target_y,m_target_z
0.0166666666667,0.001249999421298877,0.0012499976851889714,0.9999984375023961
0.0333333333334,0.002499995370377943,0.002499981481527634,0.999993750038339
0.050000000000100006,0.0037499843750270316,0.0037499375003199995,0.9999859376940912
0.0666666666668,0.004999962963055268,0.004999851853178718,0.9999750006134225
0.0833333333335,0.00624992766230071,0.006249710652179395,0.9999609389976091
0.1000000000002,0.007499875000639998,0.007499500010014902,0.9999437531054307
0.1166666666669,0.008749801505997995,0.008749206040149672,0.9999234432531686
0.1333333333336,0.009999703706357436,0.009998814856974013,0.9999000098146019
0.1500000000003,0.011249578129768567,0.011248312575958364,0.9998734532210043
0.166666666667,0.012499421304358792,0.012497685313807592,0.999843773961139
0.1833333333337,0.013749229758342321,0.013746919188615246,0.9998109725812545
0.2000000000004,0.014999000020029804,0.014996000320017787,0.9997750496850786
0.2166666666671,0.016248728617837986,0.016244914829348825,0.9997360059338121
0.2333333333338,0.01749841208029935,0.01749364883979334,0.9996938420461227
0.2500000000005,0.018748046936071735,0.018742188476541823,0.9996485587981372
0.2666666666672,0.019997629713948025,0.019990519866944507,0.9996001570234336
0.28333333333390004,0.021247156942865747,0.021238629140665443,0.999548637613033
0.30000000000060006,0.02249662515191673,0.022486502429836647,0.9994940015153903
0.3166666666673001,0.023746030870356753,0.023734125869212194,0.9994362497363843
0.3333333333340001,0.024995370627615195,0.024981485596322274,0.9993753833393081
0.35000000000070014,0.026244640953304626,0.02622856775162717,0.9993114034448574
0.36666666666740017,0.027493838377230503,0.027475358478671337,0.9992443112311199
0.3833333333341002,0.02874295942940079,0.02872184392423729,0.9991741079335631
0.4000000000008002,0.029992000640035592,0.029968010238499584,0.9991007948450212
0.41666666666750024,0.031240958539576785,0.03121384357517865,0.9990243733156828
0.43333333333420027,0.03248982965869768,0.032459330091694674,0.9989448447530761
0.4500000000009003,0.03373861052831263,0.033704455949321394,0.9988622106220553
0.4666666666676003,0.0349872976795867,0.03494920731333988,0.9987764724447854
0.48333333333430034,0.03623588764394527,0.03619357035319222,0.9986876318007267
0.5000000000010003,0.03748437695308368,0.037437531242635214,0.9985956903266185
0.5166666666677003,0.038732762138976876,0.038681076159893996,0.9985006497164626
0.5333333333344004,0.03998103973388904,0.03992419128781563,0.9984025117215056
0.5500000000011004,0.041229206270383206,0.041166862814022584,0.9983012781502214
0.5666666666678004,0.04247725828133091,0.04240907693106624,0.9981969508682923
0.5833333333345004,0.043725192299921806,0.0436508198365803,0.9980895317985903
0.6000000000012005,0.04497300485967332,0.04489207773343415,0.9979790229211569
0.6166666666679005,0.04622069249444026,0.04613283682988614,0.9978654262731831
0.6333333333346005,0.04746825173842442,0.04737308333973685,0.9977487439489883
0.6500000000013005,0.04871567912618428,0.048612803482482286,0.997628978099999
0.6666666666680006,0.04996297119264456,0.049851983483466936,0.9975061309347262
0.6833333333347006,0.051210124473105884,0.05109060957403686,0.9973802047187433
0.7000000000014006,0.05245713550325436,0.052328667991692696,0.9972512017746624
0.7166666666681006,0.05370400081917129,0.05356614498024254,0.9971191244821103
0.7333333333348007,0.05495071695734269,0.0548030267899548,0.996983975277704
0.7500000000015007,0.056197280454668985,0.056039299677710985,0.9968457566550258
0.7666666666682007,0.05744368784847462,0.05727494990715842,0.9967044711645973
0.7833333333349007,0.05868993567651758,0.05850996374886277,0.9965601214138528
0.8000000000016008,0.0599360204769992,0.05974432748046077,0.9964127100671127
0.8166666666683008,0.06118193878857358,0.060978027386812524,0.9962622398455561
0.8333333333350008,0.06242768715035732,0.06221104976015397,0.9961087135271917
0.8500000000017008,0.06367326210193913,0.06344338090024924,0.9959521339468297
0.8666666666684009,0.06491866018338936,0.06467500711454276,0.9957925039960521
0.8833333333351009,0.06616387793526973,0.06590591471831149,0.9956298266231829
0.9000000000018009,0.06740891189864281,0.06713609003481696,0.9954641048332571
0.9166666666685009,0.06865375861508174,0.06836551939545718,0.9952953416879894
0.933333333335201,0.06989841462667978,0.06959418913991858,0.9951235403057421
0.950000000001901,0.07114287647605991,0.07082208561632773,0.9949487038614934
0.966666666668601,0.07238714070638445,0.0720491951814031,0.9947708355868029
0.983333333335301,0.07363120386136471,0.0732755042006066,0.9945899387697792
1.000000000002001,0.07487506248527044,0.07450099904829505,0.9944060167550439
1.016666666668701,0.07611871312293965,0.07572566610787164,0.9942190729436983
1.033333333335401,0.07736215231978802,0.07694949177193723,0.9940291107932858
1.0500000000021008,0.07860537662181857,0.07817246244244146,0.9938361338177573
1.0666666666688007,0.07984838257563126,0.07939456453083386,0.9936401455874329
1.0833333333355006,0.08109116672843258,0.08061578445821498,0.9934411497289651
1.1000000000022006,0.08233372562804515,0.08183610865548706,0.9932391499253003
1.1166666666689005,0.08357605582291724,0.0830555235635049,0.9930341499156394
1.1333333333356004,0.08481815386213246,0.08427401563322649,0.9928261534953994
1.1500000000023003,0.08606001629541923,0.08549157132586362,0.9926151645161719
1.1666666666690002,0.08730163967316056,0.08670817711303223,0.9924011868856832
1.1833333333357001,0.08854302054640335,0.08792381947690277,0.9921842245677525
1.2000000000024,0.08978415546686823,0.08913848491035031,0.9919642815822496
1.2166666666691,0.09102504098695899,0.09035215991710482,0.9917413620050525
1.2333333333357999,0.0922656736597722,0.09156483101190091,0.9915154699680033
1.2500000000024998,0.0935060500391068,0.09277648472062776,0.9912866096588651
1.2666666666691997,0.09474616667947361,0.09398710758047886,0.9910547853212762
1.2833333333358996,0.09598602013610504,0.09519668614010159,0.9908200012547054
